original_department,consolidated_department
ПРАВНО,Support_Services
CRM,Support_Services
ДСК Лизинг,Support_Services
Пазар Ежедневно банкиране,Пазар Ежедневно банкиране
Други,Други
Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити
Пазар Потребителско кредитиране,Пазар Потребителско кредитиране
Пазар Разсрочени плащания,Пазар Разсрочени плащания
Пазар Малък бизнес,Пазар Малък бизнес
ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ
Пазар Спестяване и инвестиции,Пазар Спестяване и инвестиции
Няколко пазара,Няколко пазара
Пазар Банково застраховане,Пазар Банково застраховане
ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ
ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ
