Department,Precision,Recall,F1_Score,Support
Support_Services,0.375,0.3333333333333333,0.35294117647058826,9
ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,0.35714285714285715,0.29411764705882354,0.3225806451612903,17
ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,0.2857142857142857,0.2857142857142857,0.2857142857142857,7
ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,0.5,0.5,0.5,12
Други,0.6212121212121212,0.6507936507936508,0.6356589147286822,63
Няколко пазара,0.16666666666666666,0.07142857142857142,0.1,14
Пазар Банково застраховане,0.9166666666666666,0.8461538461538461,0.88,13
Пазар Ежедневно банкиране,0.7304347826086957,0.7368421052631579,0.7336244541484717,114
Пазар Жилищни и ипотечни кредити,0.7258064516129032,0.8333333333333334,0.7758620689655172,54
Пазар Малък бизнес,0.7857142857142857,0.5789473684210527,0.6666666666666666,19
Пазар Потребителско кредитиране,0.896551724137931,0.896551724137931,0.896551724137931,29
Пазар Разсрочени плащания,0.8518518518518519,0.9583333333333334,0.9019607843137255,24
Пазар Спестяване и инвестиции,0.75,0.8823529411764706,0.8108108108108109,17
